	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
749	{55826: 7}	{70996: 7}														
750	{55826: 7}	{70996: 7}														
751	{55826: 7}	{70996: 7}														
752	{55826: 28}	{70996: 28}	{76802: 28}													
753	{70996: 28}															
754	{55826: 7}	{70996: 7}														
755	{55826: 28}															
756	{55826: 28}															
757	{55826: 28}	{70996: 28}	{113255: 28}													
758	{55826: 35}															
759	{55826: 7}	{70996: 7}														
760	{19075: 21}	{74864: 21}	{78678: 21}													
761	{7364: 28}	{55826: 28}	{76802: 28}													
762	{76802: 28}	{113255: 28}														
763	{7364: 14}															
764	{113255: 14}															
765	{55826: 28}															
766	{70996: 28}															
767	{55826: 28}															
768	{55826: 35}															
769	{55826: 28}	{70996: 28}	{113255: 28}													
770	{113255: 28}															
771	{7364: 28}															
772	{7364: 28}															
773	{70996: 14}															
774	{55826: 28}	{70996: 28}	{76802: 28}													
775	{55826: 28}	{70996: 28}	{113255: 28}													
776	{70996: 28}	{76802: 28}	{113255: 28}													
777	{76802: 28}															
778	{7364: 28}	{76802: 28}	{113255: 28}													
779	{76802: 21}															
780	{76802: 3}															
781	{7364: 14}	{55826: 28}	{70996: 14}													
782	{7364: 28}	{55826: 28}	{70996: 28}													
783	{19075: 21}	{74864: 21}	{78678: 21}													
784	{55826: 14}															
785	{7364: 14}															
786	{70996: 28}															
787	{2868: 7}	{10716: 7}	{14806: 7}	{32934: 7}	{44272: 7}	{44275: 7}	{49353: 7}	{50093: 7}	{52624: 7}	{70996: 7}	{76706: 7}	{90104: 7}	{93637: 7}	{106244: 7}	{118893: 7}	{127573: 7}
788	{55826: 28}															
789	{113255: 28}															
790	{7364: 28}															
791	{70996: 14}															
792	{55826: 35}															
793	{2868: 1}	{10716: 1}	{14806: 1}	{32934: 1}	{44272: 1}	{44275: 1}	{49353: 1}	{50093: 1}	{52624: 1}	{70996: 1}	{76706: 1}	{90104: 1}	{93637: 1}	{106244: 1}	{118893: 1}	{127573: 1}
794	{70996: 28}	{76802: 28}	{113255: 28}													
795	{55826: 28}	{70996: 28}	{113255: 28}													
796	{55826: 28}	{70996: 28}	{113255: 28}													
797	{7364: 28}	{55826: 28}	{70996: 28}													
798	{55826: 28}	{70996: 28}	{76802: 28}													
